Tanggal;Jenis Pintu Masuk;Provinsi Pintu Masuk;Nama Pintu Masuk;Benua;Kebangsaan;Jumlah Wisatawan Mancanegara
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Jepang;347
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Korea Selatan;508
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Taiwan;850
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Tiongkok;1784
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Timor Leste;9
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Arab Saudi;48
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Kuwait;0
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Mesir;8
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Uni Emirat Arab;2
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Yaman;17
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Asia;Asia Lainnya;3817
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Eropa;Prancis;156
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Eropa;Jerman;195
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Eropa;Belanda;177
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Eropa;Inggris;218
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Eropa;Rusia;39
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Eropa;Eropa Lainnya;496
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Amerika;Amerika Serikat;466
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Amerika;Kanada;98
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Amerika;Brasil;15
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Amerika;Meksiko;11
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Amerika;Amerika Lainnya;25
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Oseania;Australia;296
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Oseania;Selandia Baru;51
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Oseania;Papua Nugini;3
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Oseania;Oseania Lainnya;2
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Afrika;Afrika Selatan;18
31/01/2020;Pintu Udara;Jawa Timur;Bandara Juanda;Afrika;Afrika Lainnya;33
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Malaysia;7847
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Filipina;105
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Singapura;1377
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Thailand;197
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Vietnam;75
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Hong Kong;0
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;India;284
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Jepang;120
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Korea Selatan;269
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Taiwan;427
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Tiongkok;482
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Timor Leste;4
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Arab Saudi;16
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Kuwait;1
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Mesir;11
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Uni Emirat Arab;7
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Yaman;10
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Asia;Asia Lainnya;4738
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Eropa;Prancis;192
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Eropa;Jerman;315
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Eropa;Belanda;828
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Eropa;Inggris;342
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Eropa;Rusia;46
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Eropa;Eropa Lainnya;641
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Amerika;Amerika Serikat;294
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Amerika;Kanada;106
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Amerika;Brasil;5
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Amerika;Meksiko;11
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Amerika;Amerika Lainnya;17
